WORD,GRAMMATICAL CATEGORY,GENDER,PTC,FUTURE TENSE CATEGORY,PAST TENSE CATEGORY
ಐಹಿಕ ,J,,,,
ಒಟ್ಟಾರೆ ,D,,,,
ಒಡನೆ ,D,,,,
ಒಮ್ಮೆ ,D,,,,
ಒಮ್ಮೆಲೆ ,D,,,,
ಒಯ್ಯನೆ ,D,,,,
ಒಯ್ಯೆಗೆ,D,,,,
ಒಳಗೆ ,D,,,,
ಔದ್ಯೋಗಿಕ ,J,,,,
ಔಪಚಾರಿಕ ,J,,,,
ಕಂಗನೆ,D,,,,
ಕಚ್ಚಾ  ,J,,,,
ಕಟು  ,J,,,,
ಕಡು,D,,,,
ಕಡ್ಡ,J,,,,
ಕತಿಪಯಾ ,D,,,,
ಕಥಿತ,J,,,,
ಕಮ್ಮಗೆ,D,,,,
ಕಮ್ಮನೆ,J,,,,
ಕಮ್ಮಿತ್ತು,J,,,,
ಕರಾಳ ,J,,,,
ಕರ್ಕಶ,J,,,,
ಕಲ ,J,,,,
ಕಾಮ್ಯ ,J,,,,
ಕಾಲ್ಪನಿಕ,J,,,,
ಕಿಂಚಿತ್ತು ,J,,,,
ಕಿರಿಸ್ತಾನ,J,,,,
ಕುಂಠಿತ ,J,,,,
ಕುತ್ಸಿತ  ,J,,,,
ಕುಪಿತ,J,,,,
ಕುಪ್ರಸಿದ್ಧ  ,J,,,,
ಕುಲೀನ,J,,,,
ಕೂಡ,D,,,,
ಕೂಡಲೆ,D,,,,
ಕೂಲಂಕಷ,J,,,,
ಕೃಶ ,J,,,,
ಕೆಮ್ಮಗೆ ,D,,,,
ಕೆಳಗೆ  ,D,,,,
ಕೊಂಚ,J,,,,
ಕೋಮಲ,J,,,,
ಕೋಮುವಾರು,J,,,,
ಕೋರಾ,J,,,,
ಕೌಟುಂಬಿಕ  ,J,,,,
ಕೌರವ,J,,,,
ಕ್ರಾಂತ ,J,,,,
ಕ್ರಿಸ್ತಪೂರ್ವ,J,,,,
ಕ್ರುದ್ಧ,J,,,,
ಕ್ರೂರ ,J,,,,
ಅಂಗಲಾಚು  ,V,,1R,1F,9S
ಅಂಗವಿಸು  ,V,,1R,1F,9S
ಅಂಜು,V,,1R,1F,7S
ಅಡಸು ,V,,1R,1F,7S
ಅದಿಕರಿಸು,V,,1R,1F,9S
ಆಗು ,V,,1R,1F,7S
